OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
94,Čermná nad Orlicí,540708,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Čermná nad Orlicí,576191,POINT(50.0655 16.1372),16.1372,50.0655,ZST22
95,Kostelec nad Orlicí,532408,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Kostelec nad Orlicí,576361,POINT(50.1173 16.2254),16.2254,50.1173,ZST70
96,Ústí u Staré Paky,557900,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Stará Paka,573507,POINT(50.517 15.4588),15.4588,50.517,ZST169
97,Stará Paka,566406,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Stará Paka,573507,POINT(50.5168 15.4879),15.4879,50.5168,ZST149
98,Horní Branná,569509,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Dolní Branná,579122,POINT(50.5975 15.5882),15.5882,50.5975,ZST40
99,Kunčice nad Labem,569400,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Kunčice nad Labem,579424,POINT(50.5847 15.6241),15.6241,50.5847,ZST77
100,Podhůří,572107,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,POINT(50.6015 15.6261),15.6261,50.6015,ZST118
101,Vrchlabí,572008,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,POINT(50.6196 15.6241),15.6241,50.6196,ZST178
102,Klášterská Lhota,569608,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Klášterská Lhota,579386,POINT(50.5594 15.6621),15.6621,50.5594,ZST67
103,Prosečné,569806,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Hostinné,579297,POINT(50.5483 15.6976),15.6976,50.5483,ZST123
104,Hostinné město,569715,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Hostinné,579297,POINT(50.54 15.7213),15.7213,50.54,ZST44
105,Hostinné,569707,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Hostinné,579297,POINT(50.5375 15.7392),15.7392,50.5375,ZST43
106,Pilníkov,570002,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Pilníkov,579599,POINT(50.535 15.8141),15.8141,50.535,ZST116
107,Vlčice,570101,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Vlčice,579823,POINT(50.5474 15.8355),15.8355,50.5474,ZST176
108,Svoboda nad Úpou,572206,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Svoboda nad Úpou,579734,POINT(50.6226 15.8219),15.8219,50.6226,ZST153
109,Dobřenice,530808,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Syrovátka,571008,POINT(50.1604 15.6581),15.6581,50.1604,ZST33
110,Kratonohy,530907,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Kratonohy,570206,POINT(50.1583 15.6119),15.6119,50.1583,ZST74
111,Nové Město nad Cidlinou,530600,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Nové Město,570494,POINT(50.151 15.5035),15.5035,50.151,ZST104
112,Káranice,530709,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Káranice,570150,POINT(50.1559 15.5625),15.5625,50.1559,ZST66
113,Lhota pod Libčany,531004,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Lhota pod Libčany,570231,POINT(50.1674 15.6973),15.6973,50.1674,ZST80
114,Praskačka,531103,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Praskačka,570656,POINT(50.176 15.7328),15.7328,50.176,ZST122
115,Chlumec nad Cidlinou,530501,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Chlumec nad Cidlinou,570109,POINT(50.1643 15.4586),15.4586,50.1643,ZST53
116,Hradec Králové-Kukleny,531301,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,POINT(50.2029 15.7996),15.7996,50.2029,ZST45
117,Hradec Králové hlavní nádraží,531202,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,POINT(50.2151 15.8109),15.8109,50.2151,ZST47
118,Luková,564401,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Nepolisy,570478,POINT(50.1907 15.4882),15.4882,50.1907,ZST89
119,Hradec Králové-Slezské Předměstí,531400,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,POINT(50.2226 15.861),15.861,50.2226,ZST46
120,Hradec Králové zastávka,531509,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,POINT(50.2231 15.8429),15.8429,50.2231,ZST48
121,Plotiště nad Labem,556803,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,POINT(50.2362 15.7932),15.7932,50.2362,ZST117
122,Zachrašťany,563908,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Zachrašťany,571130,POINT(50.2152 15.4911),15.4911,50.2152,ZST180
123,Předměřice nad Labem,568600,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Předměřice nad Labem,570672,POINT(50.2534 15.8191),15.8191,50.2534,ZST124
124,Všestary,556605,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Všestary,571091,POINT(50.2534 15.7658),15.7658,50.2534,ZST179
125,Dlouhé Dvory,556704,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Střezetice,570966,POINT(50.2625 15.7272),15.7272,50.2625,ZST30
126,Nový Bydžov,564302,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Nový Bydžov,570508,POINT(50.2457 15.4871),15.4871,50.2457,ZST106
127,Lochenice,568709,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Lochenice,570311,POINT(50.2737 15.8258),15.8258,50.2737,ZST87
128,Dohalice,556506,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Dohalice,569976,POINT(50.2837 15.697),15.697,50.2837,ZST34
129,Skřivany,564500,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Skřivany,570834,POINT(50.2727 15.5001),15.5001,50.2727,ZST140
130,Smiřice,568006,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Smiřice,570877,POINT(50.3012 15.8595),15.8595,50.3012,ZST144
131,Sadová,556308,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Sadová,573191,POINT(50.2962 15.6952),15.6952,50.2962,ZST137
132,Černožice,568105,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Černožice,569925,POINT(50.3166 15.871),15.871,50.3166,ZST24
133,Hněvčeves,556407,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hněvčeves,570010,POINT(50.3132 15.723),15.723,50.3132,ZST37
134,Smidary,564609,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Smidary,570869,POINT(50.2958 15.4967),15.4967,50.2958,ZST143
135,Semonice,565804,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,POINT(50.3323 15.8787),15.8787,50.3323,ZST139
136,Cerekvice nad Bystřicí,556209,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Cerekvice nad Bystřicí,572781,POINT(50.3264 15.7179),15.7179,50.3264,ZST18
137,Třebovětice,556001,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Cerekvice nad Bystřicí,572781,POINT(50.328 15.7052),15.7052,50.328,ZST167
138,Jeřice,556100,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Jeřice,572993,POINT(50.3435 15.678),15.678,50.3435,ZST59
139,Ohnišťany,564708,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Ohnišťany,570516,POINT(50.3344 15.5083),15.5083,50.3344,ZST108
140,Dobrá Voda u Hořic,555904,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Dobrá Voda u Hořic,572837,POINT(50.3468 15.6111),15.6111,50.3468,ZST31
141,Hořice v Podkrkonoší,555805,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Hořice,572926,POINT(50.3571 15.6363),15.6363,50.3571,ZST42
142,Ostroměř,555409,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Ostroměř,573272,POINT(50.3698 15.5459),15.5459,50.3698,ZST111
143,Sobčice,555607,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Sobčice,573477,POINT(50.3761 15.52),15.52,50.3761,ZST145
144,Žireč,567503,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,POINT(50.404 15.8495),15.8495,50.404,ZST185
145,Vojice,555508,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Podhorní Újezd a Vojice,573311,POINT(50.3853 15.4991),15.4991,50.3853,ZST177
146,Dvůr Králové nad Labem,567404,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,POINT(50.4145 15.7997),15.7997,50.4145,ZST36
